TXNAME	GENEID	chr1
BambuTx1	BambuGene1	2
BambuTx2	BambuGene1	2
BambuTx3	BambuGene5	11
BambuTx4	ENSG00000302550.1	1.89113
BambuTx5	ENSG00000302550.1	3.10887
BambuTx6	ENSG00000272153.1	2
BambuTx7	ENSG00000236423.9	2
BambuTx8	BambuGene10	9
BambuTx9	BambuGene14	6
BambuTx10	ENSG00000041988.16	5
BambuTx11	ENSG00000230679.2	77
BambuTx12	ENSG00000142655.13	3
BambuTx13	BambuGene23	2
BambuTx14	ENSG00000230337.5	5
BambuTx15	BambuGene31	3
BambuTx16	ENSG00000116670.17	3
BambuTx17	BambuGene41	16
BambuTx18	BambuGene50	8
BambuTx19	BambuGene61	3
BambuTx20	BambuGene69	6
BambuTx21	BambuGene561	5
BambuTx22	BambuGene72	3.85714
BambuTx23	BambuGene72	5.14286
BambuTx24	ENSG00000117616.18	3
BambuTx25	BambuGene79	2.10707
BambuTx26	BambuGene79	17.89293
BambuTx27	ENSG00000131914.11	3
BambuTx28	BambuGene84	9
BambuTx29	BambuGene86	4
BambuTx30	BambuGene95	1.93106
BambuTx31	BambuGene95	2.06894
BambuTx32	BambuGene100	4
BambuTx33	BambuGene565	3
BambuTx34	BambuGene107	10
BambuTx35	ENSG00000182866.18	2
BambuTx36	BambuGene117	49
BambuTx37	BambuGene119	3
BambuTx38	BambuGene132	4.64799
BambuTx39	BambuGene132	2.35201
BambuTx40	BambuGene139	5
BambuTx41	BambuGene145	2
BambuTx42	BambuGene151	2
BambuTx43	BambuGene153	2
BambuTx44	BambuGene161	4
BambuTx45	ENSG00000163879.11	2
BambuTx46	ENSG00000163879.11	6
BambuTx47	BambuGene168	13
BambuTx48	ENSG00000131238.18	7
BambuTx49	BambuGene185	17
BambuTx50	BambuGene195	12
BambuTx51	BambuGene205	10
BambuTx52	ENSG00000229431.2	3
BambuTx53	ENSG00000117419.16	2
BambuTx54	BambuGene214	2
BambuTx55	ENSG00000132763.15	20
BambuTx56	BambuGene220	8
BambuTx57	BambuGene230	15
